iter	Logloss
0	0.5941850464
1	0.5324628206
2	0.4848786975
3	0.4390604863
4	0.4111052752
5	0.3889993012
6	0.3721616653
7	0.3578896707
8	0.3462046754
9	0.3377120372
10	0.330074664
11	0.3219242303
12	0.3176229895
13	0.3137789937
14	0.3098673584
15	0.3076952839
16	0.3054979455
17	0.3028560754
18	0.3012874813
19	0.2999834287
20	0.2987725086
21	0.2977736285
22	0.2968335857
23	0.295590275
24	0.294894751
25	0.2941700496
26	0.293403612
27	0.2929304348
28	0.2922796683
29	0.2918471544
30	0.2908919113
31	0.2905771009
32	0.2900920827
33	0.2897102712
34	0.2890435019
35	0.288697416
36	0.2883924845
37	0.2879986824
38	0.2875721892
39	0.2872371722
40	0.2870567564
41	0.2867722464
42	0.2864111076
43	0.2860786516
44	0.2857458365
45	0.2854713336
46	0.285155004
47	0.2847894236
48	0.2842635903
49	0.2837131924
50	0.2834911793
51	0.2832323152
52	0.2828548764
53	0.2824971954
54	0.2819589785
55	0.2817953321
56	0.2815449738
57	0.2812522861
58	0.2809274087
59	0.2807719255
60	0.2802970845
61	0.2801136227
62	0.2797897074
63	0.2794346758
64	0.2791656209
65	0.2789037658
66	0.2786743175
67	0.2784486649
68	0.2782746371
69	0.2779333473
70	0.2777059809
71	0.2775481736
72	0.2773502157
73	0.2769798484
74	0.276727496
75	0.2763407165
76	0.2759016202
77	0.2756023634
78	0.2754406124
79	0.2752024432
80	0.2748970644
81	0.274544415
82	0.2743493431
83	0.2740514327
84	0.2738031399
85	0.2735994489
86	0.2733860963
87	0.2730036189
88	0.2728224689
89	0.2726484397
90	0.2724650491
91	0.2722999598
92	0.272069439
93	0.2718220075
94	0.2715904497
95	0.2712203058
96	0.2710243378
97	0.2707084628
98	0.2704940786
99	0.2699954854
100	0.2697154724
101	0.2695220647
102	0.2692471624
103	0.2691027422
104	0.2689014506
105	0.2686670321
106	0.2684266845
107	0.2681455969
108	0.2679159286
109	0.2677424106
110	0.2674761508
111	0.2672207274
112	0.2670323544
113	0.2668553121
114	0.266611904
115	0.2664562681
116	0.2662467976
117	0.2659071243
118	0.2657416689
119	0.2654835358
120	0.2651262411
121	0.2649051016
122	0.2646935564
123	0.2645003041
124	0.2643197002
125	0.2640193407
126	0.263757002
127	0.2635097027
128	0.2632909356
129	0.2630259077
130	0.2628155234
131	0.2623556816
132	0.2621917373
133	0.2619515896
134	0.2617478617
135	0.2615767104
136	0.2612707279
137	0.2610374851
138	0.2607382291
139	0.2605822328
140	0.2601279508
141	0.2600048245
142	0.2594428632
143	0.2591938226
144	0.2587813886
145	0.2585810897
146	0.2584078989
147	0.2582248288
148	0.2579536136
149	0.2578064731
150	0.257632541
151	0.2574290221
152	0.25726349
153	0.2571091106
154	0.2569205193
155	0.2565780317
156	0.2563521211
157	0.2561737464
158	0.2560336075
159	0.255724103
160	0.2555540272
161	0.2551351692
162	0.2549380605
163	0.2547254926
164	0.2545461294
165	0.2543259138
166	0.2539802963
167	0.253847425
168	0.2536409986
169	0.2534569873
170	0.2531781384
171	0.2529385512
172	0.2527398604
173	0.2525263459
174	0.2524041453
175	0.2521922586
176	0.2520593555
177	0.2518860583
178	0.251609503
179	0.2513629512
180	0.2511910253
181	0.2509387549
182	0.2506775414
183	0.2505255222
184	0.250318259
185	0.2500974654
186	0.2499449597
187	0.2497287109
188	0.249525962
189	0.2492393533
190	0.249094757
191	0.248947276
192	0.2487647801
193	0.2485876592
194	0.2484123861
195	0.2481577853
196	0.2479050221
197	0.247774127
198	0.2474214561
199	0.2472368851
